frameId;frame_main;frame_calib;frame_above;swimmerId;swimmerName;eventX;eventY;event;anno_type;custom_event;Temps (s);distance (m)
656;221;656;656;0;A;55.3513;15.8213;track;interp;;10.94;55.3513
657;222;657;657;0;A;55.3513;15.8213;track;interp;;10.96;55.3513
658;223;658;658;0;A;55.3513;15.8213;track;interp;;10.98;55.3513
659;224;659;659;0;A;55.3513;15.8213;track;interp;;10.99;55.3513
660;225;660;660;0;A;55.3513;15.8213;track;interp;;11.01;55.3513
661;226;661;661;0;A;55.3513;15.8213;track;interp;;11.03;55.3513
662;227;662;662;0;A;55.4675;15.939;track;interp;;11.04;55.4675
663;228;663;663;0;A;55.4675;15.939;track;interp;;11.06;55.4675
664;229;664;664;0;A;55.4675;15.939;track;interp;;11.08;55.4675
665;230;665;665;0;A;55.4675;15.939;track;interp;;11.09;55.4675
666;231;666;666;0;A;55.4675;15.939;track;interp;;11.11;55.4675
667;232;667;667;0;A;55.4159;15.9469;track;interp;;11.13;55.4159
668;233;668;668;0;A;55.4159;15.9469;track;interp;;11.14;55.4159
669;234;669;669;0;A;55.4159;15.9469;track;interp;;11.16;55.4159
670;235;670;670;0;A;55.4159;15.9469;track;interp;;11.18;55.4159
671;236;671;671;0;A;55.4159;15.9469;track;interp;;11.19;55.4159
672;237;672;672;0;A;55.4159;15.9469;track;interp;;11.21;55.4159
673;238;673;673;0;A;55.3643;15.9548;track;interp;;11.23;55.3643
674;239;674;674;0;A;55.3643;15.9548;track;interp;;11.24;55.3643
675;240;675;675;0;A;55.3643;15.9548;track;interp;;11.26;55.3643
676;241;676;676;0;A;55.3643;15.9548;track;interp;;11.28;55.3643
677;242;677;677;0;A;55.3643;15.9548;track;interp;;11.29;55.3643
678;243;678;678;0;A;55.3643;15.9548;track;interp;;11.31;55.3643
679;244;679;679;0;A;55.4809;16.0733;track;interp;;11.33;55.4809
680;245;680;680;0;A;55.4809;16.0733;track;interp;;11.34;55.4809
681;246;681;681;0;A;55.4809;16.0733;track;interp;;11.36;55.4809
682;247;682;682;0;A;55.4809;16.0733;track;interp;;11.38;55.4809
683;248;683;683;0;A;55.4809;16.0733;track;interp;;11.39;55.4809
684;249;684;684;0;A;55.4291;16.0812;track;interp;;11.41;55.4291
685;250;685;685;0;A;55.4291;16.0812;track;interp;;11.43;55.4291
686;251;686;686;0;A;55.4291;16.0812;track;interp;;11.44;55.4291
687;252;687;687;0;A;55.4291;16.0812;track;interp;;11.46;55.4291
688;253;688;688;0;A;55.4291;16.0812;track;interp;;11.48;55.4291
689;254;689;689;0;A;55.4291;16.0812;track;interp;;11.49;55.4291
690;255;690;690;0;A;55.3773;16.0891;track;interp;;11.51;55.3773
691;256;691;691;0;A;55.3773;16.0891;track;interp;;11.53;55.3773
692;257;692;692;0;A;55.3773;16.0891;track;interp;;11.54;55.3773
693;258;693;693;0;A;55.3773;16.0891;track;interp;;11.56;55.3773
694;259;694;694;0;A;55.3773;16.0891;track;interp;;11.58;55.3773
695;260;695;695;0;A;55.4944;16.2085;track;interp;;11.59;55.4944
696;261;696;696;0;A;55.4944;16.2085;track;interp;;11.61;55.4944
697;262;697;697;0;A;55.4944;16.2085;track;interp;;11.63;55.4944
698;263;698;698;0;A;55.4944;16.2085;track;interp;;11.64;55.4944
699;264;699;699;0;A;55.4944;16.2085;track;interp;;11.66;55.4944
700;265;700;700;0;A;55.4944;16.2085;track;interp;;11.68;55.4944
701;266;701;701;0;A;55.4424;16.2164;track;interp;;11.7;55.4424
702;267;702;702;0;A;55.4424;16.2164;track;interp;;11.71;55.4424
703;268;703;703;0;A;55.4424;16.2164;track;click;;11.73;55.4424
704;269;704;704;0;A;55.4424;16.2164;track;interp;;11.75;55.4424
705;270;705;705;0;A;55.4424;16.2164;track;interp;;11.76;55.4424
706;271;706;706;0;A;55.4424;16.2164;track;interp;;11.78;55.4424
707;272;707;707;0;A;55.2738;16.1049;track;interp;;11.8;55.2738
708;273;708;708;0;A;55.2738;16.1049;track;interp;;11.81;55.2738
709;274;709;709;0;A;55.2738;16.1049;track;interp;;11.83;55.2738
710;275;710;710;0;A;55.2738;16.1049;track;interp;;11.85;55.2738
711;276;711;711;0;A;55.2738;16.1049;track;interp;;11.86;55.2738
712;277;712;712;0;A;55.2738;16.1049;track;interp;;11.88;55.2738
713;278;713;713;0;A;55.0547;16.0021;track;interp;;11.9;55.0547
714;279;714;714;0;A;55.0547;16.0021;track;interp;;11.91;55.0547
715;280;715;715;0;A;55.0547;16.0021;track;interp;;11.93;55.0547
716;281;716;716;0;A;55.0547;16.0021;track;interp;;11.95;55.0547
717;282;717;717;0;A;55.0547;16.0021;track;interp;;11.96;55.0547
718;283;718;718;0;A;55.0547;16.0021;track;interp;;11.98;55.0547
719;284;719;719;0;A;55.0547;16.0021;track;interp;;12;55.0547
720;285;720;720;0;A;54.8885;15.8921;track;interp;;12.01;54.8885
721;286;721;721;0;A;54.8885;15.8921;track;interp;;12.03;54.8885
722;287;722;722;0;A;54.8885;15.8921;track;interp;;12.05;54.8885
723;288;723;723;0;A;54.8885;15.8921;track;interp;;12.06;54.8885
724;289;724;724;0;A;54.8885;15.8921;track;interp;;12.08;54.8885
725;290;725;725;0;A;54.8885;15.8921;track;interp;;12.1;54.8885
726;291;726;726;0;A;54.8885;15.8921;track;interp;;12.11;54.8885
727;292;727;727;0;A;54.7234;15.7829;track;interp;;12.13;54.7234
728;293;728;728;0;A;54.7234;15.7829;track;interp;;12.15;54.7234
729;294;729;729;0;A;54.7234;15.7829;track;interp;;12.16;54.7234
730;295;730;730;0;A;54.7234;15.7829;track;interp;;12.18;54.7234
731;296;731;731;0;A;54.7234;15.7829;track;interp;;12.2;54.7234
732;297;732;732;0;A;54.7234;15.7829;track;interp;;12.21;54.7234
733;298;733;733;0;A;54.7234;15.7829;track;interp;;12.23;54.7234
734;299;734;734;0;A;54.5084;15.6822;track;interp;;12.25;54.5084
735;300;735;735;0;A;54.5084;15.6822;track;interp;;12.26;54.5084
736;301;736;736;0;A;54.5084;15.6822;track;interp;;12.28;54.5084
737;302;737;737;0;A;54.5084;15.6822;track;interp;;12.3;54.5084
